1-UCA01,Outdoor sitting                 ,Non UFA                                      
G93,Treatment Room                  ,Campus Community Division               
G94,Emergency Room                  ,Campus Community Division               
G95,Pathology                       ,Campus Community Division               
G96,Office,Campus Community Division               
G97,Store                           ,Campus Community Division               
G99,Holding Room                    ,Campus Community Division               
LF01,Lift 01,Non UFA                                      
LF03,Lift 03,Non UFA                                      
LF04,Lift 04,Non UFA                                      
PS01,Passage                         ,Non UFA                                      
PS02,Internal corridor               ,Non UFA                                      
PS03,Circulation                     ,Non UFA                                      
PS04,Passage,Non UFA                                      
PS05,Passage                         ,Non UFA                                      
PS06,Passage                         ,Non UFA                                      
PS07,Foyer                           ,Non UFA                                      
PS08,Passage                         ,Non UFA                                      
PS09,Passage                         ,Non UFA                                      
PS10,Passage                         ,Non UFA                                      
PS11,Passage,Non UFA                                      
ST017,Stair 17,Non UFA                                      
ST10,Stair 10,Non UFA                                      
ST11,Stair 11,Non UFA                                      
ST12,Stair 12,Non UFA                                      
ST13,Stair 13,Non UFA                                      
ST14,Stair 14,Non UFA                                      
ST15,Stair 15,Non UFA                                      
ST16,Stair 16,Non UFA                                      
ST19,Stair 19,Non UFA                                      
